#molid 	 transid 	 up->low 	 freq., GHz 	 Brightness temperature
1 	 1 	 2 -> 1 	 7.283795e+01 	 1.810660e+03
1 	 2 	 3 -> 2 	 1.456029e+02 	 1.066404e+03
1 	 3 	 4 -> 3 	 2.182222e+02 	 7.022713e+02
1 	 4 	 5 -> 4 	 2.906234e+02 	 3.626721e+02
1 	 5 	 6 -> 5 	 3.627360e+02 	 2.486288e+02
1 	 6 	 7 -> 3 	 9.819354e+02 	 1.102690e+01
1 	 7 	 8 -> 7 	 7.114000e-02 	 -9.999485e+03
1 	 8 	 8 -> 4 	 7.637843e+02 	 3.430348e+00
1 	 9 	 8 -> 2 	 1.127609e+03 	 7.798607e+00
1 	 10 	 9 -> 7 	 2.184756e+02 	 2.330825e+02
1 	 11 	 9 -> 4 	 9.821888e+02 	 3.168137e+01
1 	 12 	 10 -> 9 	 3.555680e-01 	 -9.999111e+03
1 	 13 	 10 -> 8 	 2.187601e+02 	 1.594782e+02
1 	 14 	 10 -> 5 	 6.919211e+02 	 1.010010e+01
1 	 15 	 10 -> 3 	 1.200767e+03 	 2.388710e+01
1 	 16 	 11 -> 6 	 4.344930e+02 	 1.977780e+02
1 	 17 	 12 -> 9 	 2.912378e+02 	 2.373993e+02
1 	 18 	 12 -> 5 	 9.828032e+02 	 5.346752e+01
1 	 19 	 13 -> 12 	 1.065869e+00 	 -9.998720e+03
1 	 20 	 13 -> 10 	 2.919481e+02 	 1.607423e+02
1 	 21 	 13 -> 6 	 6.211330e+02 	 1.732460e+01
1 	 22 	 13 -> 4 	 1.274492e+03 	 4.399028e+01
1 	 23 	 14 -> 11 	 5.058337e+02 	 1.775849e+02
1 	 24 	 15 -> 12 	 3.639459e+02 	 2.188191e+02
1 	 25 	 15 -> 6 	 9.840130e+02 	 6.822650e+01
1 	 26 	 16 -> 15 	 2.483408e+00 	 -9.998174e+03
1 	 27 	 16 -> 13 	 3.653634e+02 	 1.574343e+02
1 	 28 	 16 -> 11 	 5.520035e+02 	 2.202969e+01
1 	 29 	 16 -> 5 	 1.349232e+03 	 5.989897e+01
1 	 30 	 17 -> 15 	 4.365865e+02 	 1.819588e+02
1 	 31 	 17 -> 11 	 9.861066e+02 	 7.440487e+01
1 	 32 	 18 -> 17 	 4.954760e+00 	 -9.996992e+03
1 	 33 	 18 -> 16 	 4.390578e+02 	 1.421662e+02
1 	 34 	 18 -> 14 	 4.852276e+02 	 2.213474e+01
1 	 35 	 18 -> 6 	 1.425554e+03 	 6.655317e+01
1 	 36 	 19 -> 14 	 5.767083e+02 	 1.750577e+02
1 	 37 	 20 -> 17 	 5.091462e+02 	 1.192417e+02
1 	 38 	 20 -> 14 	 9.894191e+02 	 6.765819e+01
1 	 39 	 21 -> 20 	 8.884820e+00 	 -9.554072e+03
1 	 40 	 21 -> 19 	 4.215956e+02 	 1.481422e+01
1 	 41 	 21 -> 18 	 5.130764e+02 	 1.023104e+02
1 	 42 	 21 -> 11 	 1.504138e+03 	 6.163756e+01
1 	 43 	 22 -> 19 	 6.470817e+02 	 1.764863e+02
1 	 44 	 23 -> 20 	 5.816118e+02 	 1.257160e+02
1 	 45 	 23 -> 19 	 9.943226e+02 	 6.072929e+01
1 	 46 	 24 -> 23 	 1.472664e+01 	 -6.781031e+03
1 	 47 	 24 -> 22 	 3.619675e+02 	 4.541395e+00
1 	 48 	 24 -> 21 	 5.874537e+02 	 1.085645e+02
1 	 49 	 24 -> 14 	 1.585758e+03 	 5.583505e+01
1 	 50 	 25 -> 22 	 7.169384e+02 	 1.629528e+02
1 	 51 	 26 -> 23 	 6.539702e+02 	 1.425665e+02
1 	 52 	 26 -> 22 	 1.001211e+03 	 5.648120e+01
1 	 53 	 27 -> 26 	 2.296563e+01 	 -3.723298e+03
1 	 54 	 27 -> 25 	 3.072383e+02 	 -6.750623e+00
1 	 55 	 27 -> 24 	 6.622092e+02 	 1.206178e+02
1 	 56 	 27 -> 19 	 1.671258e+03 	 5.141668e+01
1 	 57 	 28 -> 15 	 2.577827e+03 	 2.379399e-01
1 	 58 	 28 -> 13 	 2.940707e+03 	 1.416760e+00
1 	 59 	 28 -> 9 	 3.233011e+03 	 2.572286e+00
1 	 60 	 29 -> 16 	 2.575343e+03 	 2.424372e-01
1 	 61 	 29 -> 12 	 2.941773e+03 	 1.440606e+00
1 	 62 	 29 -> 10 	 3.232655e+03 	 2.618871e+00
1 	 63 	 30 -> 25 	 7.862850e+02 	 1.179834e+02
1 	 64 	 31 -> 26 	 7.262083e+02 	 1.434390e+02
1 	 65 	 31 -> 25 	 1.010481e+03 	 5.395042e+01
1 	 66 	 32 -> 31 	 3.410005e+01 	 -1.900498e+03
1 	 67 	 32 -> 30 	 2.582961e+02 	 -1.800809e+01
1 	 68 	 32 -> 27 	 7.373427e+02 	 1.234542e+02
1 	 69 	 32 -> 22 	 1.761519e+03 	 4.722647e+01
1 	 70 	 33 -> 28 	 3.641032e+02 	 4.351790e+01
1 	 71 	 33 -> 17 	 2.505344e+03 	 6.706528e-01
1 	 72 	 33 -> 16 	 2.939447e+03 	 3.392227e+00
1 	 73 	 33 -> 12 	 3.305876e+03 	 4.773899e+00
1 	 74 	 33 -> 6 	 3.925943e+03 	 2.966399e-03
1 	 75 	 34 -> 29 	 3.641032e+02 	 4.351790e+01
1 	 76 	 34 -> 18 	 2.500389e+03 	 6.849271e-01
1 	 77 	 34 -> 15 	 2.941930e+03 	 3.444845e+00
1 	 78 	 34 -> 13 	 3.304810e+03 	 4.879133e+00
1 	 79 	 35 -> 33 	 4.369573e+02 	 5.193470e+01
1 	 80 	 35 -> 20 	 2.433155e+03 	 1.159621e+00
1 	 81 	 35 -> 18 	 2.937346e+03 	 5.238923e+00
1 	 82 	 35 -> 15 	 3.378887e+03 	 6.335558e+00
1 	 83 	 35 -> 11 	 3.928408e+03 	 9.359240e-03
1 	 84 	 36 -> 34 	 4.369575e+02 	 5.192521e+01
1 	 85 	 36 -> 21 	 2.424270e+03 	 1.185732e+00
1 	 86 	 36 -> 17 	 2.942301e+03 	 5.286733e+00
1 	 87 	 36 -> 16 	 3.376404e+03 	 6.499439e+00
1 	 88 	 36 -> 14 	 3.422574e+03 	 3.759512e-03
1 	 89 	 36 -> 6 	 4.362901e+03 	 5.762190e-03
1 	 90 	 37 -> 30 	 8.551513e+02 	 1.034951e+02
1 	 91 	 38 -> 31 	 7.983135e+02 	 1.130885e+02
1 	 92 	 38 -> 30 	 1.022509e+03 	 5.301153e+01
1 	 93 	 39 -> 38 	 4.861803e+01 	 -9.804207e+02
1 	 94 	 39 -> 37 	 2.159762e+02 	 -3.270339e+01
1 	 95 	 39 -> 32 	 8.128314e+02 	 9.943793e+01
1 	 96 	 39 -> 25 	 1.857412e+03 	 4.063682e+01
1 	 97 	 40 -> 35 	 5.098296e+02 	 5.610514e+01
1 	 98 	 40 -> 23 	 2.361372e+03 	 1.555144e+00
1 	 99 	 40 -> 21 	 2.934099e+03 	 6.510814e+00
1 	 100 	 40 -> 17 	 3.452130e+03 	 7.094036e+00
1 	 101 	 40 -> 14 	 3.932403e+03 	 2.125361e-02
1 	 102 	 41 -> 36 	 5.098301e+02 	 5.609450e+01
1 	 103 	 41 -> 24 	 2.346647e+03 	 1.594738e+00
1 	 104 	 41 -> 20 	 2.942985e+03 	 6.520007e+00
1 	 105 	 41 -> 19 	 3.355696e+03 	 8.386043e-03
1 	 106 	 41 -> 18 	 3.447177e+03 	 7.323923e+00
1 	 107 	 41 -> 11 	 4.438238e+03 	 1.325371e-02
2 	 1 	 2 -> 1 	 4.829660e+00 	 3.625275e+04
2 	 2 	 3 -> 1 	 1.408395e+02 	 5.298968e+02
2 	 3 	 4 -> 3 	 1.448848e+01 	 7.229766e+02
2 	 4 	 4 -> 2 	 1.504983e+02 	 5.442031e+02
2 	 5 	 5 -> 3 	 2.112115e+02 	 4.726712e+02
2 	 6 	 6 -> 5 	 2.897481e+01 	 -6.774205e+02
2 	 7 	 6 -> 4 	 2.256978e+02 	 4.866504e+02
2 	 8 	 7 -> 5 	 2.815269e+02 	 3.756449e+02
2 	 9 	 8 -> 7 	 4.828455e+01 	 -4.315914e+02
2 	 10 	 8 -> 6 	 3.008366e+02 	 3.670703e+02
2 	 11 	 9 -> 7 	 3.517686e+02 	 2.987634e+02
2 	 12 	 10 -> 9 	 7.240909e+01 	 -1.495043e+02
2 	 13 	 10 -> 8 	 3.758932e+02 	 2.819245e+02
2 	 14 	 11 -> 9 	 4.219206e+02 	 2.462894e+02
2 	 15 	 12 -> 11 	 1.013330e+02 	 -1.871672e+01
2 	 16 	 12 -> 10 	 4.508444e+02 	 2.293858e+02
2 	 17 	 13 -> 11 	 4.919684e+02 	 2.159798e+02
2 	 18 	 14 -> 13 	 1.350304e+02 	 2.981025e+01
2 	 19 	 14 -> 12 	 5.256658e+02 	 1.961369e+02
2 	 20 	 15 -> 7 	 1.695786e+03 	 6.157170e-01
2 	 21 	 15 -> 6 	 1.948338e+03 	 2.940331e+00
2 	 22 	 15 -> 3 	 2.188524e+03 	 3.610923e+00
2 	 23 	 16 -> 15 	 6.550000e-04 	 1.283575e+05
2 	 24 	 16 -> 8 	 1.647502e+03 	 6.595358e-01
2 	 25 	 16 -> 5 	 1.977313e+03 	 2.820185e+00
2 	 26 	 16 -> 4 	 2.174036e+03 	 3.694214e+00
2 	 27 	 17 -> 13 	 5.618993e+02 	 1.942571e+02
2 	 28 	 18 -> 15 	 2.913805e+02 	 3.854364e+01
2 	 29 	 18 -> 9 	 1.635397e+03 	 1.757014e+00
2 	 30 	 18 -> 8 	 1.938882e+03 	 7.564374e+00
2 	 31 	 18 -> 5 	 2.268693e+03 	 7.667263e+00
2 	 32 	 19 -> 18 	 4.573000e-03 	 -6.930436e+03
2 	 33 	 19 -> 16 	 2.913843e+02 	 3.798419e+01
2 	 34 	 19 -> 10 	 1.562993e+03 	 1.934132e+00
2 	 35 	 19 -> 7 	 1.987171e+03 	 7.076170e+00
2 	 36 	 19 -> 6 	 2.239723e+03 	 7.989166e+00
2 	 37 	 20 -> 17 	 1.734617e+02 	 5.135319e+01
2 	 38 	 20 -> 14 	 6.003306e+02 	 1.747208e+02
2 	 39 	 21 -> 18 	 3.642751e+02 	 5.659196e+01
2 	 40 	 21 -> 11 	 1.577752e+03 	 3.078620e+00
2 	 41 	 21 -> 10 	 1.927264e+03 	 1.232946e+01
2 	 42 	 21 -> 7 	 2.351441e+03 	 1.134203e+01
2 	 43 	 22 -> 21 	 1.828300e-02 	 -6.851768e+03
2 	 44 	 22 -> 19 	 3.642889e+02 	 5.648305e+01
2 	 45 	 22 -> 12 	 1.476437e+03 	 3.490879e+00
2 	 46 	 22 -> 9 	 1.999691e+03 	 1.127082e+01
2 	 47 	 22 -> 8 	 2.303175e+03 	 1.208692e+01
2 	 48 	 23 -> 17 	 6.317028e+02 	 1.688053e+02
2 	 49 	 24 -> 23 	 2.165687e+02 	 6.077654e+01
2 	 50 	 24 -> 20 	 6.748098e+02 	 1.521769e+02
2 	 51 	 25 -> 21 	 4.371995e+02 	 7.317349e+01
2 	 52 	 25 -> 13 	 1.522983e+03 	 4.264530e+00
2 	 53 	 25 -> 12 	 1.913619e+03 	 1.605371e+01
2 	 54 	 25 -> 9 	 2.436872e+03 	 1.412158e+01
2 	 55 	 26 -> 25 	 5.481800e-02 	 -9.744488e+03
2 	 56 	 26 -> 22 	 4.372360e+02 	 7.178353e+01
2 	 57 	 26 -> 14 	 1.388008e+03 	 4.953470e+00
2 	 58 	 26 -> 11 	 2.015006e+03 	 1.436052e+01
2 	 59 	 26 -> 10 	 2.364518e+03 	 1.533248e+01
2 	 60 	 27 -> 23 	 7.013705e+02 	 1.333124e+02
2 	 61 	 28 -> 25 	 5.101557e+02 	 8.547952e+01
2 	 62 	 28 -> 17 	 1.471240e+03 	 5.098895e+00
2 	 63 	 28 -> 14 	 1.898108e+03 	 1.818718e+01
2 	 64 	 28 -> 11 	 2.525107e+03 	 1.575439e+01
2 	 65 	 29 -> 28 	 1.369250e-01 	 -9.842581e+03
2 	 66 	 29 -> 26 	 5.102378e+02 	 8.427482e+01
2 	 67 	 29 -> 20 	 1.297915e+03 	 6.040856e+00
2 	 68 	 29 -> 13 	 2.033276e+03 	 1.601707e+01
2 	 69 	 29 -> 12 	 2.423911e+03 	 1.741699e+01
2 	 70 	 30 -> 27 	 2.642701e+02 	 6.211443e+01
2 	 71 	 30 -> 24 	 7.490719e+02 	 1.207986e+02
2 	 72 	 31 -> 28 	 5.831446e+02 	 9.243434e+01
2 	 73 	 31 -> 23 	 1.422681e+03 	 5.490122e+00
2 	 74 	 31 -> 20 	 1.880923e+03 	 1.878845e+01
2 	 75 	 31 -> 13 	 2.616284e+03 	 1.624090e+01
2 	 76 	 32 -> 31 	 3.008700e-01 	 -9.907033e+03
2 	 77 	 32 -> 29 	 5.833086e+02 	 9.051109e+01
2 	 78 	 32 -> 24 	 1.206414e+03 	 6.578355e+00
2 	 79 	 32 -> 17 	 2.054685e+03 	 1.629870e+01
2 	 80 	 32 -> 14 	 2.481554e+03 	 1.823639e+01
2 	 81 	 33 -> 27 	 7.708961e+02 	 1.325784e+02
2 	 82 	 34 -> 33 	 3.164568e+02 	 6.079828e+01
2 	 83 	 34 -> 30 	 8.230828e+02 	 1.182429e+02
2 	 84 	 35 -> 31 	 6.561647e+02 	 9.294402e+01
2 	 85 	 35 -> 27 	 1.377476e+03 	 5.453244e+00
2 	 86 	 35 -> 24 	 1.862278e+03 	 1.825701e+01
2 	 87 	 35 -> 17 	 2.710549e+03 	 1.568444e+01
2 	 88 	 36 -> 35 	 6.007400e-01 	 -9.096076e+03
2 	 89 	 36 -> 32 	 6.564646e+02 	 9.411392e+01
2 	 90 	 36 -> 30 	 1.113806e+03 	 6.637693e+00
2 	 91 	 36 -> 23 	 2.079447e+03 	 1.570282e+01
2 	 92 	 36 -> 20 	 2.537688e+03 	 1.805615e+01
2 	 93 	 37 -> 33 	 8.402757e+02 	 1.164772e+02
2 	 94 	 38 -> 37 	 3.729862e+02 	 5.098310e+01
2 	 95 	 38 -> 34 	 8.968051e+02 	 9.702096e+01
2 	 96 	 39 -> 35 	 7.292125e+02 	 6.347154e+01
2 	 97 	 39 -> 33 	 1.335792e+03 	 4.445752e+00
2 	 98 	 39 -> 30 	 1.842418e+03 	 1.542520e+01
2 	 99 	 39 -> 23 	 2.808059e+03 	 1.290505e+01
2 	 100 	 40 -> 39 	 1.113190e+00 	 -7.534578e+03
2 	 101 	 40 -> 36 	 7.297250e+02 	 6.356524e+01
2 	 102 	 40 -> 34 	 1.020448e+03 	 5.331697e+00
2 	 103 	 40 -> 27 	 2.107801e+03 	 1.301999e+01
2 	 104 	 40 -> 24 	 2.592603e+03 	 1.521848e+01
