#molid 	 transid 	 up->low 	 freq., GHz 	 tau 	 Excitation temperature
1 	 1 	 2 -> 1 	 7.283795e+01 	 2.256021e+00 	 2.480354e+03
1 	 2 	 3 -> 2 	 1.456029e+02 	 1.880641e+01 	 1.185066e+03
1 	 3 	 4 -> 3 	 2.182222e+02 	 6.539481e+01 	 7.586184e+02
1 	 4 	 5 -> 4 	 2.906234e+02 	 2.158632e+02 	 3.982157e+02
1 	 5 	 6 -> 5 	 3.627360e+02 	 4.634968e+02 	 2.754088e+02
1 	 6 	 7 -> 3 	 9.819354e+02 	 1.282071e-01 	 1.162037e+02
1 	 7 	 8 -> 7 	 7.114000e-02 	 2.328496e+01 	 5.163982e-01
1 	 8 	 8 -> 4 	 7.637843e+02 	 4.976420e-02 	 9.201969e+01
1 	 9 	 8 -> 2 	 1.127609e+03 	 7.929766e-02 	 1.294503e+02
1 	 10 	 9 -> 7 	 2.184756e+02 	 6.265156e+01 	 2.903443e+02
1 	 11 	 9 -> 4 	 9.821888e+02 	 4.616736e-01 	 1.101734e+02
1 	 12 	 10 -> 9 	 3.555680e-01 	 4.488784e+01 	 8.980993e-01
1 	 13 	 10 -> 8 	 2.187601e+02 	 8.307073e+01 	 2.164611e+02
1 	 14 	 10 -> 5 	 6.919211e+02 	 1.843497e-01 	 8.063377e+01
1 	 15 	 10 -> 3 	 1.200767e+03 	 2.836239e-01 	 1.250993e+02
1 	 16 	 11 -> 6 	 4.344930e+02 	 7.679894e+02 	 2.208334e+02
1 	 17 	 12 -> 9 	 2.912378e+02 	 1.530687e+02 	 2.729853e+02
1 	 18 	 12 -> 5 	 9.828032e+02 	 1.060745e+00 	 1.062262e+02
1 	 19 	 13 -> 12 	 1.065869e+00 	 6.707195e+01 	 1.306379e+00
1 	 20 	 13 -> 10 	 2.919481e+02 	 2.072646e+02 	 1.963538e+02
1 	 21 	 13 -> 6 	 6.211330e+02 	 4.180771e-01 	 7.098016e+01
1 	 22 	 13 -> 4 	 1.274492e+03 	 6.871298e-01 	 1.180338e+02
1 	 23 	 14 -> 11 	 5.058337e+02 	 1.038430e+03 	 1.990550e+02
1 	 24 	 15 -> 12 	 3.639459e+02 	 2.807095e+02 	 2.450631e+02
1 	 25 	 15 -> 6 	 9.840130e+02 	 1.912903e+00 	 1.044598e+02
1 	 26 	 16 -> 15 	 2.483408e+00 	 8.106667e+01 	 1.885266e+00
1 	 27 	 16 -> 13 	 3.653634e+02 	 3.569019e+02 	 1.839244e+02
1 	 28 	 16 -> 11 	 5.520035e+02 	 7.296910e-01 	 6.294389e+01
1 	 29 	 16 -> 5 	 1.349232e+03 	 1.335093e+00 	 1.119289e+02
1 	 30 	 17 -> 15 	 4.365865e+02 	 4.716041e+02 	 2.036330e+02
1 	 31 	 17 -> 11 	 9.861066e+02 	 2.960789e+00 	 1.027571e+02
1 	 32 	 18 -> 17 	 4.954760e+00 	 8.536918e+01 	 2.681134e+00
1 	 33 	 18 -> 16 	 4.390578e+02 	 5.454768e+02 	 1.641507e+02
1 	 34 	 18 -> 14 	 4.852276e+02 	 1.093197e+00 	 5.449963e+01
1 	 35 	 18 -> 6 	 1.425554e+03 	 2.226756e+00 	 1.062894e+02
1 	 36 	 19 -> 14 	 5.767083e+02 	 1.204751e+03 	 1.959741e+02
1 	 37 	 20 -> 17 	 5.091462e+02 	 8.372668e+02 	 1.405155e+02
1 	 38 	 20 -> 14 	 9.894191e+02 	 4.387659e+00 	 9.265328e+01
1 	 39 	 21 -> 20 	 8.884820e+00 	 7.863383e+01 	 3.735654e+00
1 	 40 	 21 -> 19 	 4.215956e+02 	 1.592674e+00 	 4.168299e+01
1 	 41 	 21 -> 18 	 5.130764e+02 	 8.677086e+02 	 1.235200e+02
1 	 42 	 21 -> 11 	 1.504138e+03 	 3.394699e+00 	 9.642967e+01
1 	 43 	 22 -> 19 	 6.470817e+02 	 1.299754e+03 	 1.974877e+02
1 	 44 	 23 -> 20 	 5.816118e+02 	 8.910980e+02 	 1.467026e+02
1 	 45 	 23 -> 19 	 9.943226e+02 	 5.904142e+00 	 8.498112e+01
1 	 46 	 24 -> 23 	 1.472664e+01 	 6.980595e+01 	 4.988452e+00
1 	 47 	 24 -> 22 	 3.619675e+02 	 2.093328e+00 	 3.181827e+01
1 	 48 	 24 -> 21 	 5.874537e+02 	 8.981358e+02 	 1.294428e+02
1 	 49 	 24 -> 14 	 1.585758e+03 	 4.583020e+00 	 9.012323e+01
1 	 50 	 25 -> 22 	 7.169384e+02 	 1.442731e+03 	 1.844089e+02
